Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     51.16 |     51.16 |     51.16 |     51.16
LAS        |     47.07 |     47.07 |     47.07 |     47.07
CLAS       |     42.71 |     45.55 |     44.08 |     45.55
MLAS       |     40.44 |     43.13 |     41.74 |     43.13
BLEX       |     42.71 |     45.55 |     44.08 |     45.55
