Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     66.33 |     66.33 |     66.33 |     66.33
LAS        |     60.44 |     60.44 |     60.44 |     60.44
CLAS       |     56.43 |     56.78 |     56.61 |     56.78
MLAS       |     54.15 |     54.49 |     54.32 |     54.49
BLEX       |     56.43 |     56.78 |     56.61 |     56.78
