Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     73.68 |     73.68 |     73.68 |     73.68
LAS        |     67.59 |     67.59 |     67.59 |     67.59
CLAS       |     66.34 |     66.22 |     66.28 |     66.22
MLAS       |     63.04 |     62.92 |     62.98 |     62.92
BLEX       |     66.34 |     66.22 |     66.28 |     66.22
