Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     66.33 |     66.33 |     66.33 |     66.33
LAS        |     57.64 |     57.64 |     57.64 |     57.64
CLAS       |     56.16 |     55.89 |     56.03 |     55.89
MLAS       |     51.77 |     51.53 |     51.65 |     51.53
BLEX       |     56.16 |     55.89 |     56.03 |     55.89
