Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     69.02 |     69.02 |     69.02 |     69.02
LAS        |     61.71 |     61.71 |     61.71 |     61.71
CLAS       |     60.50 |     60.27 |     60.38 |     60.27
MLAS       |     56.33 |     56.12 |     56.23 |     56.12
BLEX       |     60.50 |     60.27 |     60.38 |     60.27
