Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     78.31 |     78.31 |     78.31 |     78.31
LAS        |     72.36 |     72.36 |     72.36 |     72.36
CLAS       |     71.16 |     71.50 |     71.33 |     71.50
MLAS       |     68.18 |     68.51 |     68.35 |     68.51
BLEX       |     71.16 |     71.50 |     71.33 |     71.50
