Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     65.02 |     65.02 |     65.02 |     65.02
LAS        |     55.91 |     55.91 |     55.91 |     55.91
CLAS       |     54.39 |     55.36 |     54.87 |     55.36
MLAS       |     49.37 |     50.26 |     49.81 |     50.26
BLEX       |     54.39 |     55.36 |     54.87 |     55.36
