Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     73.83 |     73.83 |     73.83 |     73.83
LAS        |     67.57 |     67.57 |     67.57 |     67.57
CLAS       |     63.40 |     62.33 |     62.86 |     62.33
MLAS       |     58.75 |     57.77 |     58.25 |     57.77
BLEX       |     63.40 |     62.33 |     62.86 |     62.33
